date,days,rate
2010-01-04,7,0.21200309023340885
2010-01-04,163,0.35815255927406014
2010-01-05,7,0.2144196519267731
2010-01-05,162,0.34354652492022136
2010-01-06,7,0.2089386239033611
2010-01-06,161,0.3303346549299766
2010-01-07,7,0.2142768865103271
2010-01-07,160,0.32387546939109463
2010-01-08,7,0.20899032623292055
2010-01-08,159,0.30308803657748984
2010-01-11,7,0.2181301584734931
2010-01-11,156,0.3146322393862248
2010-01-12,7,0.20968561082463777
2010-01-12,155,0.3122364631012694
2010-01-13,7,0.20718385203360695
2010-01-13,245,0.379124799797076
2010-01-14,7,0.2056929099137072
2010-01-14,244,0.36451592215872974
2010-01-15,7,0.2047163992526408
2010-01-15,187,0.32761799109901923
2010-01-19,7,0.2146652531614415
2010-01-19,183,0.30654750022945343
2010-01-20,7,0.20709247754936708
2010-01-20,182,0.31914984181703254
2010-01-21,7,0.21434588785265749
2010-01-21,181,0.30838815532301334
2010-01-22,7,0.20599103154229795
2010-01-22,180,0.31738964782328727
2010-01-25,7,0.20511399615319198
2010-01-25,177,0.3078999340248763
2010-01-26,7,0.21470608582542045
2010-01-26,176,0.3060823055907074
2010-01-27,7,0.21366915032129355
2010-01-27,175,0.31157564389958275
2010-01-28,7,0.20910238439701312
2010-01-28,174,0.3195550757249866
2010-01-29,7,0.20121608651318032
2010-01-29,173,0.3319563918740215
2010-02-01,7,0.2112690279477765
2010-02-01,226,0.3657886189753338
2010-02-02,7,0.2174959111208368
2010-02-02,225,0.36560900292543363
2010-02-03,7,0.20592420619616444
2010-02-03,224,0.37447913879359723
2010-02-04,7,0.2085248503266348
2010-02-04,223,0.3539982638426535
2010-02-05,7,0.2118009610871479
2010-02-05,222,0.37255601968990276
2010-02-08,7,0.21343773459305887
2010-02-08,219,0.37564664327532243
2010-02-09,7,0.2030440805199404
2010-02-09,218,0.39073326164571653
2010-02-10,7,0.21163483740546576
2010-02-10,217,0.4025982828844675
2010-02-11,7,0.2117029529125279
2010-02-11,216,0.3757220113297095
2010-02-12,7,0.210417453898496
2010-02-12,187,0.35844340188896007
2010-02-16,7,0.2125787891777087
2010-02-16,211,0.382005827799377
2010-02-17,7,0.2046596981625528
2010-02-17,210,0.3510642487753058
2010-02-18,7,0.21145547569516956
2010-02-18,209,0.3829179171282187
2010-02-19,7,0.2115072222836071
2010-02-19,208,0.37318287252701693
2010-02-22,7,0.21240984026086168
2010-02-22,205,0.3644527600264421
2010-02-23,7,0.2133610315842354
2010-02-23,204,0.3598461724023462
2010-02-24,7,0.2042040576773005
2010-02-24,203,0.3472936101144423
2010-02-25,7,0.20719746554620427
2010-02-25,202,0.3281660943319031
2010-02-26,7,0.21119762767979797
2010-02-26,201,0.3233582522706734
2010-03-01,7,0.21639445502461757
2010-03-01,198,0.3397674153370789
2010-03-02,7,0.2035099279257824
2010-03-02,197,0.32575511727600087
2010-03-03,7,0.21184341119493105
2010-03-03,196,0.3259793340309681
2010-03-04,7,0.2168081992811341
2010-03-04,195,0.35445287324417846
2010-03-05,7,0.21743462054046234
2010-03-05,194,0.3495976683797735
2010-03-08,7,0.21260673158720195
2010-03-08,191,0.3641702327225002
