secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,am_settlement,ticker,am_set_flag
0,2010-01-04,2010-01-16,2010-01-04,P,155888.59845959427,0.02,0.05,174,7307,0.6470403542275738,0,AAPL,
0,2010-01-04,2010-01-16,2010-01-04,P,194601.55929931032,0.7000000000000001,0.75,11816,32393,0.3379984136905869,0,AAPL,
0,2010-01-04,2010-01-16,2009-12-04,P,272946.519493367,65.53,67.09,1,140,,0,AAPL,
0,2010-01-04,2010-02-20,2010-01-04,P,159597.33753484982,0.33,0.34,156,564,0.5133418319828501,0,AAPL,
0,2010-01-04,2010-02-20,2010-01-04,P,173624.31772311934,1.3900000000000001,1.4000000000000001,999,7859,0.4137413416166714,0,AAPL,
0,2010-01-04,2010-02-20,2010-01-04,P,208037.73549870175,9.14,9.56,2816,3813,0.3835023585248835,0,AAPL,
0,2010-01-04,2010-04-17,2010-01-04,C,174070.987820723,39.35,39.36,104,4615,0.3988306666796429,0,AAPL,
0,2010-01-04,2010-07-17,2009-12-31,C,95442.14853161236,117.84,129.18,1,4,0.5913669663221807,0,AAPL,
0,2010-01-04,2010-07-17,2010-01-04,P,119396.77555811255,1.12,1.29,12,449,0.43170332259287264,0,AAPL,
0,2010-01-04,2010-07-17,2010-01-04,P,167123.58522885077,6.17,7.21,26,547,0.3910507619170801,0,AAPL,
0,2010-01-04,2010-07-17,2010-01-04,C,184849.24011518635,41.89,41.9,20,318,0.38432160010766125,0,AAPL,
0,2010-01-04,2010-07-17,2010-01-04,C,309105.0852755359,2.64,2.65,50,1297,0.3393058587440207,0,AAPL,
0,2010-01-04,2011-01-22,2009-12-30,P,24630.956848754344,0.0,0.06,0,357,0.7388201491345037,0,AAPL,
0,2010-01-04,2011-01-22,2010-01-04,C,105657.26849739006,108.76,119.08,3,525,0.4737245318544421,0,AAPL,
0,2010-01-04,2011-01-22,2010-01-04,P,107120.7641660421,2.39,2.4,9,2668,0.47595130025511534,0,AAPL,
0,2010-01-04,2011-01-22,2009-12-31,P,126103.93771704797,4.22,4.26,1,1078,0.46124793870909014,0,AAPL,
0,2010-01-04,2011-01-22,2010-01-04,C,165624.10939977283,67.84,67.85000000000001,92,1891,0.4723530376953722,0,AAPL,
0,2010-01-04,2011-01-22,2010-01-04,C,188733.30779840943,49.85,49.86,68,5011,0.3837246634058663,0,AAPL,
0,2010-01-04,2011-01-22,2010-01-04,P,263509.8519299008,64.9,70.03,19,2308,0.3406068969996127,0,AAPL,
0,2010-01-04,2012-01-21,2010-01-04,C,318506.8606461781,19.22,19.23,22,329,0.3348084928694292,0,AAPL,
0,2010-01-05,2010-01-16,2009-12-17,P,30096.26848670535,0.0,0.01,1,4891,3.0,0,AAPL,
0,2010-01-05,2010-01-16,2010-01-04,C,54534.72805077013,179.51,179.51999999999998,1,236,,0,AAPL,
0,2010-01-05,2010-01-16,2009-12-31,P,114516.4325109,0.0,0.02,1,1160,1.1390133786525507,0,AAPL,
0,2010-01-05,2010-01-16,2010-01-05,C,162859.38357090412,52.27,52.28,86,12671,,0,AAPL,
0,2010-01-05,2010-01-16,2009-12-01,C,366999.85057843686,0.0,0.02,1,1302,1.0811478383442013,0,AAPL,
0,2010-01-05,2010-01-16,2010-01-04,P,411389.7141948945,200.85,200.85999999999999,0,1,1.3645830825455132,0,AAPL,
0,2010-01-05,2010-02-20,2010-01-05,P,132027.07531820954,0.06,0.09,573,589,0.5139645544063276,0,AAPL,
0,2010-01-05,2010-02-20,2010-01-05,C,169004.0803386377,43.88,45.480000000000004,95,374,0.39491458918324107,0,AAPL,
0,2010-01-05,2010-04-17,2009-12-29,C,114437.739507033,110.65,110.66000000000001,3,159,0.6051981990891661,0,AAPL,
0,2010-01-05,2010-04-17,2010-01-05,P,134409.64685094656,0.5,0.51,22,1049,0.4798527483922288,0,AAPL,
0,2010-01-05,2010-04-17,2010-01-05,C,158342.7594521862,55.050000000000004,65.17,13,1276,0.40119668076844983,0,AAPL,
0,2010-01-05,2010-04-17,2009-12-28,P,288962.34643491637,74.07000000000001,75.79,0,183,0.3361721656988875,0,AAPL,
0,2010-01-05,2010-04-17,2010-01-05,C,292644.9895323352,1.09,1.17,213,1315,0.3169990237349566,0,AAPL,
0,2010-01-05,2010-07-17,2010-01-05,C,185896.24872168043,38.63,43.62,16,272,0.4070057957712397,0,AAPL,
0,2010-01-05,2011-01-22,2009-11-11,P,15076.05762053265,0.0,0.05,3,865,0.7983683920752049,0,AAPL,
0,2010-01-05,2011-01-22,2010-01-05,C,125544.25943218492,103.08,103.09,9,546,0.4472615447200022,0,AAPL,
0,2010-01-05,2012-01-21,2010-01-05,C,118314.51407608725,109.01,109.02000000000001,48,156,0.460380506003016,0,AAPL,
0,2010-01-05,2012-01-21,2010-01-05,P,156483.6790334136,20.91,20.92,10,394,0.40456648844613474,0,AAPL,
0,2010-01-05,2012-01-21,2009-12-21,P,258853.5051923152,75.2,75.21000000000001,0,111,0.3932076160053215,0,AAPL,
0,2010-01-05,2012-01-21,2010-01-05,C,305027.8585088673,22.23,23.64,2,480,0.3604539784764075,0,AAPL,
0,2010-01-06,2010-01-16,2010-01-06,C,40312.97140360012,162.33,183.72,12,456,3.0,0,AAPL,
0,2010-01-06,2010-01-16,2009-12-15,C,109786.7572445121,109.36,109.37,0,267,2.2080500401308525,0,AAPL,
0,2010-01-06,2010-01-16,2010-01-06,C,115291.168429536,91.60000000000001,91.78,23,10221,1.452852347764373,0,AAPL,
0,2010-01-06,2010-01-16,2010-01-06,P,160198.2554752601,0.02,0.03,90,14336,0.612520582327984,0,AAPL,
0,2010-01-06,2010-01-16,2009-10-23,C,363832.0280001942,0.0,0.02,1,972,1.0392681151364893,0,AAPL,
0,2010-01-06,2010-02-20,2010-01-06,P,132083.34112499733,0.01,0.06,326,3,0.4995141871445162,0,AAPL,
0,2010-01-06,2010-02-20,2010-01-06,P,156540.7328670518,0.22,0.25,114,1010,0.45387627509699374,0,AAPL,
0,2010-01-06,2010-04-17,2010-01-06,C,141527.5378423204,67.07000000000001,80.34,2,1583,0.4905788612655615,0,AAPL,
0,2010-01-06,2010-04-17,2010-01-06,C,274829.2067028402,1.62,1.94,520,2612,0.34049097177627446,0,AAPL,
0,2010-01-06,2010-07-17,2010-01-06,P,109436.80763691089,0.68,0.7000000000000001,21,309,0.5030663213142371,0,AAPL,
0,2010-01-06,2010-07-17,2010-01-04,C,112756.31297416418,82.59,102.24000000000001,1,11,0.5550075794420768,0,AAPL,
0,2010-01-06,2010-07-17,2010-01-06,P,134272.5481689638,1.77,2.09,9,409,0.4461574438856263,0,AAPL,
0,2010-01-06,2010-07-17,2010-01-06,P,157163.97203407864,4.44,5.58,63,1003,0.39777479239424407,0,AAPL,
0,2010-01-06,2010-07-17,2010-01-06,P,189829.19801972498,10.3,11.02,413,703,0.3443638791943287,0,AAPL,
0,2010-01-06,2010-07-17,2010-01-06,P,199645.1294148931,16.9,19.46,184,2407,0.3518059048645512,0,AAPL,
0,2010-01-06,2011-01-22,2010-01-06,C,193399.7428225344,42.09,44.09,301,5602,0.3894400591923914,0,AAPL,
0,2010-01-06,2011-01-22,2010-01-06,P,201312.3262336486,23.76,23.91,97,6770,0.37949123686105185,0,AAPL,
